channel,snr_db,ber,num_bits
Rayleigh,0,0.0025,2000
Rayleigh,2,0.0,2000
Rayleigh,4,0.0,2000
Rayleigh,6,0.0,2000
Rayleigh,8,0.0,2000
Rayleigh,10,0.0,2000
Rayleigh,12,0.0,2000
Rayleigh,14,0.0,2000
Rayleigh,16,0.0,2000
Rayleigh,18,0.0,2000
Rayleigh,20,0.0,2000
